user,ulasan,label,tanggal
Yuni Marsudi,"Belanja dishopee bikin ketagihan.... Dn itu benar... Gk bohong.,... Skrg jd tiada hri tanpa beroprasi di shopee 😂😂",1,08 Maret 2021
Indra Wijaya,Ngak cape cape keluar rumah... harga nya murah murah ...dan banyak opsi pilihan mantap dah,1,09 Maret 2021
Iet,"Banyak discount,voucher, promo dan games2nya.rekomen marketplace.👍👍👍",1,17 Maret 2021
Denji Sukma Hermayani Nurman,APLIKASI BELANJA yg menurutku PALING komplit dari yg lain. Bebas mau belanja sesuka hati. Pilihan barang dan TOKOnya banyaaak jd PUAS mlih harga TERBAIK. 👍 Review produk jg sangat membantu.,1,22 Februari 2021
faisal tarigan,"Terbaik shopee, makin sering belanja,makin banyak kejutan yang di dapat. Terimakasih shopee @tariganfaisal",1,06 Maret 2021
Ariyan Saputra,Tolong dong device saya jangan di ban masak gak bisa login lagi gara-gara 2 akun 1 hanphone di ban dari aplikasi,1,11 Maret 2021
Hidayanti Iaday,"Belanja di shopee sangat memuaskan terima kasih,semoga selalu amanah dalam pengiriman barang",1,08 Maret 2021
Jeon Jaera,Rekomended belanja di shopee banyak toko branded dan original harga mantul murah dan pengiriman cepat,1,07 Maret 2021
Holek Bentor,"Belanja onlain terbaik yg saya tahu adalah di shopee yg lain nya lewat minggat ...yg gk bisa belanja gk usah komen jelek itu km yg pe,ak wkwkw",1,26 Februari 2021
Abang adi irawan Chu ady,Good job.. terus sukses untuk shopee dan terus tambahkan diskon2 besar besar ya.. trima kasih shopee,1,15 Maret 2021
Nona Sari,"Akhirnya perfoma shoppe kembali lagi , setelah beberapa kali eror setahun lalu. Semoga makin dipermudah ya buat belanja di shoppe",1,22 Februari 2021
Kim Agg,"Nyesel gw download, Dompet gw jadi tipis trus soalnya, shoping muluuuuuuuuuuuu!!!!!",1,15 Maret 2021
Ratu Nazwa,"Selalu puas dengan shopee,aplikasi belanja online yang top markotop.mudah dipahami juga buat penggunanya...love100%.bertabur voucher belanja,gratis ongkir,hadiah uang,selalu setia dengan shopee.terima kasih shopee sudah hadir untuk mempermudah belanja dan bisnis saya.love it ❤❤❤❤❤❤❤",1,06 Februari 2021
Hendry Ticoalu,"Aplikasi yang bagus banget dan sangat membantu memenuhi kebutuhan saya. Belanja jadi gampang, semua macam kebutuhan pasti tersedia, ada potongan biaya pengiriman, ada game, ada flash sale, bisa buat pembayaran tagihan dan banyak lagi yg lain.... Pokoknya Lengkap... Good.... Good.... Good.... 👍👍👍👍👍👍👍👍👍👍",1,21 Januari 2021
Aurel Danu,"Aplikasi yg dulu banyak peminat ,tapiii skrg gara jarang dapat gratis ongkir.sedikit:(",1,22 Februari 2021
MaYu MaYu Fun,Cm mau di Shopee??? Yaialah di shopee... yang lain???... hempaskan sajah...😁😊,1,08 Maret 2021
Izaaz Muzaaky,"Saya senang belanja si shoope dan saya sering belanja di shoope, tapi kenapa saya ngga dapet shoope pay latter?",1,01 Maret 2021
Anggi Qristiato10,"Rekomen banget belanja dsini , barangnya sesuai keinginan , gk pernah salah atau cacat di barang .",1,16 Maret 2021
Dearni Patricia,Saya sangat terbantu dg adanya aplikasi ini utk mencari beberapa kebutuhan saya. Sejauh ini saya puas dg aplikasi ini 😊,1,03 Maret 2021
januarto eko,"belanja aman, pelapak baik, barang murah,,,tolong free ongkir waktunya ditambahi banyak 🙏🙏",1,04 Maret 2021
Iwan Oncho,"Sbelumnya saya tidak trtarik blnja dsni, tpi stlh adanya prkembangan sistem yg lbih baik sya jdi brubh pkiran buat mncoba blnja dsni dan hsilnya Alhamdulillah smpai saat ini sdh puas. Smoga kdpannya bisa lbih baik lgi dan pra plnggan yg lain mrasa lbih puas lgi shingga tdk ad phak yg di rugikan..👍😊",1,04 Maret 2021
amelia81 amelia81,"Mantap bgt. Selalu puas belanja di shopee. Banyak penawaran menarik, jadi pengen belanja terus.",1,01 Maret 2021
Irma Novelia Ira,"Belanja di shopee puas banget, banyak gratis ongkirnya, banyak poin juga, pokok nya puas deh 👍👍",1,27 Februari 2021
Almu Billah,"Aplikasi E-COMMERCE paling diminati, selain itu ada beberapa game nya yang mengisi waktu kosong..",1,28 Februari 2021
Andi Prasetiyo,"Beli Online di Aplikasi Shopee, harga murah banyak diskon dan voucher belanjanya jg. Terima kasih Shopee",1,04 Maret 2021
Desy. K SDN Gedong 05,Langganan..So far so goooood👍👍. Tingkatkan trs pelayanannya. Srg² disc yg rruar biassa😊. Smg sll mndptkn seller yg baik & amanah jg😇,1,27 Februari 2021
Miftahul Jannati,Sangat enak belanja di shoppe kalo bisa gratis ongkirnya bisa di pake untuk semua barang walaupun beda tokok,1,07 Maret 2021
Raden Lukman,"Belanja mudah, terpecaya, aman, & ngak ribet👍👍👍 Aq berasa nyaman belaja di shopee , bikin Betah belanja dishopee",1,04 Maret 2021
Jeon Jaera,Rekomended belanja di shopee banyak toko branded dan original harga mantul murah dan pengiriman cepat,1,07 Maret 2021
NASYAA 2pi2,Murah... Murah... Apa lagi kalau ada cash back dan freeongkir.. Makin cintttaaaaa sma Shopee,1,25 Februari 2021
Lita Julia Hidayat,"Belanja di Shopee selalu memuaskan. Sering gratis ongkir, cepat, murah, banyak pilihan.",1,05 Maret 2021
Maulana Junaidi,Sangat membantu saya dalam berbelanja/saya barusan belanja di shoope kok ukuran 40 saya nggk bisa pkai padahal saya pkai ukuran 40 loh,1,05 Maret 2021
Erix Nainggolan,"Apk yg sangat memudahkan dalam berbelanja, apalagi dari luar pulau. Disamping ongkirnya lebih murah.",1,03 Maret 2021
Justin Tambunan 6A 6A,"So far so good... slalu tepat wktu, yg dikirim sesuai pesanan. Yg penting baca deskripsi dgn teliti sblm memesan",1,28 Februari 2021
Nawa-chan笑い,"Oiii buat kalian yg bilang di apk jelek tuh maksudny ap.ad yg bilang mahalan ongkir dari harga barang it knp?lah mereka jualan yg mereka butuh dong dapet lebih.jadi kalian tuh bersyukur aj gara ad apk ini buat belanja secara online kan sibuk kali lah hidup kau ah.cuma mo bilang makasih buat pihak shoppe udah bikin nih apk,seneng bgt gara barang² yg saya pengen beli tuh ada semua lengkap, sekali lagi makasih-.-",1,22 Februari 2021
Sujana G,"Belanja semakin mudah ,tinggal klik aja barang yg kita inginkan, semua ada di shopee😘😘😘😅shopee slalu di hati❤",1,22 Februari 2021
Aditya Saja,Keren sangat membantu ..... hanya sayang di akun saya tidak bisa melakukan pencarian barang yg saya inginkan,1,15 Maret 2021
Igusti putu Sukarmayana,Happy belanja di shopee banyak gratis ongkirnya pengiriman juga cepat. Pokoknya shopee T O P lah.,1,01 Maret 2021
Weni Susanti,"Saya sangat terbantu dgn adanya shopee belanja dari rumah , barang pasti datang dan banyak pilihan, sukses selalu yah",1,07 Maret 2021
Asep Gunawan dcok,"Mantap shopee lanjutkan , belanja selalu puas ..!!! Pasti selalu 🌟🌟🌟🌟🌟 5 ,.. Tapi saran sedikit "" tolong kepada penjual / seller bilamana sudah mencantum kan harga di list jangan berubah ubah dong , pengalaman saya liat harga di list langsung mau beli , tapi setelah chat barang ready atau gak nya , eeh tiba tiba harga berubah ( di naikan ) , tolong pihak shopee menertibkan yang seperti itu agar tidak terjadi kepada konsumen yang lain , makasih shopee 👍👍👍 """,1,18 Februari 2021
Dwi febriani,"Gak tau hrs ngomong apa lagi,, Shopee terpercaya banget😭😭,, terus tampilan di apk Shopee nya tuh simpel, jadi gak bingung,, pokoknya ini apk belanja online berkah dehh, luvvv ❤❤",1,08 Maret 2021
YENNI Signature777,TerimaKasih Shopee..Sy sangat terbantu kemudahan buka toko di Shopee dan fitur promosi yg simple. Alhamdulillah toko sy Beli Berkah Store semakin bertambah pengunjung dan pembelinya. Belanja sekaligus sedekah. Hasil penjualan menghimpun dana program Sedekah. Follow toko Beli Berkah Store ya Teman's. Barakallahu Fiik.,1,20 Februari 2021
Rois Pepep,Shopee mantap tapi belum bisa membantu menambah limit pinjmaman. Padahal saya sudah berusaha...,1,08 Maret 2021
AbdelChannel,"Trimakasih Shopee, shopeePay dan mitra Shopee sangat membantu untuk bertransaksi sekali lagi trimakasih kepada mimin dan pihak Shopee 😊🙏 Sukses selalu 😁",1,04 Maret 2021
Izza Naila13,"Aplikasi belanja paling favorit, terpercaya , selalu ada pemberitahuan info promo dan lainnya, seneng banget belanja di shopee, bayar makan pun pakek shopee dapet cashback , sipp deh",1,20 Februari 2021
Achyar Ponti,"Saya senang dengan aplikasi ini,pemesanan barang nya cepat,dan harga nya sangat murah,banyak diskon nya lg,semoga shoppy dapat menjadi mitra usaha saya,terima kasih,,",1,01 Maret 2021
Rahmat Kauntu,"Shopee memang terbaik , vouchernya setiap toko selalu ada dan pengirimanya juga cepat smaa barang yang dipesan sesuai keinginan",1,09 Maret 2021
Sarjono 123,"Apa yg aku butuhkan , di shopee selalu ada, dg harga yg murah, kwalitas sesuai dengan gambar, pembayaran mudah, pengiriman cepat, pengemasan memuaskan.",1,11 Maret 2021
Anwar Sanusi,Ok..ongkir ny mantap selalu ada ongkir..untuk meringankan..terus jangan kendor d tinggkat kan terus. Supaya makin sukses,1,24 Februari 2021
Doyok078 Luthfiyannur,Mantap belom pernah gagal belanja di shopee promo nya juga mantab. Bisa kali min kasi bonus. Hehehe,1,13 Maret 2021
Aldi Tanjuang,Untuk daerah kec cipayung kota depok sepertinya terdapat error dalam penentuan titik alamat di petanya,1,07 Maret 2021
Shella Larasati,"suka banget belanja ecommerce shopee ini krn sering gratis ongkir, fitur yg ditampilkan mempermudah utk belanja produk apapun.",1,03 Maret 2021
Aska Yazid,"Belum pernah kecewa dari mulai bini kemarenan yg order disini, cuman nyari yg bisa cod aje, sukses terus shoppee.",1,16 Maret 2021
Lukman Hakim,"Alhamdllh,,, belanja dishopee sesuai dgn yg diinginkan. Terima kasih bnyak.",1,08 Maret 2021
Eldo Motovlog Rider,Harus lebih teliti melihat penjual yang menjual barang black market dan penipu akan orderan,1,04 Maret 2021
Kim Agg,"Nyesel gw download, Dompet gw jadi tipis trus soalnya, shoping muluuuuuuuuuuuu!!!!!",1,15 Maret 2021
Lujeng Suryo Saputro,Kenapa sekarang di shopee tidak ada voucher game??... Saya pelanggan lama dan sering beli voucher game di shopee padahal... Saya jadi kecewa... Tolong diadakan lagi untuk voucher game nya✌️🙏,1,07 Maret 2021
syswanto farel,good. sekarang aplikasinya terlalu berat buat redmi note4 saya. saran perbaiki aplikasinya agar lebih ringan buat hp jadul saya...,1,15 Maret 2021
Siti Nurliyana,"udah 4 tahun pake aplikasi ini,,udah percaya banget kalo belanja online gk pernah kecewa shoppe pay/leter nya juga gampang banget pakenya,,yg males keluar keluar rumah tinggal klik shoppepay udah,, pinjam uang juga bisa 😂 pertama kali nyoba pinjam 2jt belom lunas udah bisa buat pinjam lagi 😆😆🤭 aplikasi terpercaya deh , selalu puas belanja di shoppe cuman kadang sinyal yg jelek jadi suka lama loading nya ,gpp mungkin terlalu banyak yg make jadi ngelag2 semoga kedepannya semakin sukses 👍🤲",1,15 Maret 2021
rizka yulianti,"Pokonya suka bgt belanja di SHOPEE,,barang slalu ok n bagus..semoga semakin sukses buat SHOPEE..",1,26 Februari 2021
Idda Leksana,Belanja jadi mudah.. Gak perlu keluar rumah Bisa cod lagi. Sukaa belanja di shopee,1,01 Maret 2021
ariady fitrah,"mantap ,belanja jd ga ribet ga usah ke luar cari toko/mall .semoga shopee sukses terus 👍👍👍",1,10 Maret 2021
RICO CHANNEL,"ELEH APK APA SIH ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? EITS TAPI BOONG YUK BURUAN DOWNLOAD, KAREA MEMUDAHKAN KITA UNTUK BELANJA, ZAMAN KAYAK SEKARANG..!",1,24 Januari 2021
Eteh Ndanx,Belanjaaa di rumah aja.. Terimakasih Shopee. Sejauh ini baik baik aja..,1,05 Maret 2021
Dewi Ketut,"barangnya bagus, harga ramah dikantong, pengirimannya jg cepat, sy suka, sy suka",1,06 Maret 2021
OPW GNTNG,belanja di shopee ga pernah dapet barang zonk.... jadi saya gunakan sehari hari untuk belanja karena aplksi ini sangat terpercaya.,1,11 Maret 2021
Topik Nike,Saya syuka 👏🏾👏🏾👏🏾 Merasa terbantu dengan shopee nggak ribet juga...pokoknya saya suka bangett pake aplikasi ini... Terimaksih shopee Semua ada di sini... Pokoknya love love dahhh😍😍🥳😘,1,10 Maret 2021
Muhammad Muhaimin,Saya kecewa dengan perubahan jasa kirim sekarang ini..sangat tidak menguntungkan pembeli..,1,16 Maret 2021
Ulfa Salsabilla,"Recomended, meskipun sempat kecewa pas beli baju ga sesuai tpi gpp bkn salah aplikasinya tp salah penjualnya yg ga jujur",1,04 Maret 2021
CONQUEROR GAMING,Gimana ya????? Hemmmmmm?????Narik????Uangnya????gimana????ya???,1,13 Maret 2021
Kus Romanti,"Produk komplit,cari apa aja ada di shopee.banyak evennya juga lho,mantap dech pokoknya.",1,15 Maret 2021
Mick Doohan,"Shoope mantap, isi shopeepay bisa di indomaret dan atm bca tanpa biaya sesenpun, dan nggak sampai 3 detik saldo udah masuk. Barang lengkap dan banyak yang murah, tinggal pintar2 milih saja. Orang berduit tidak mengharapkan gratisan, yang penting kebutuhan barang terpenuhi. Udah lama saya pakai ni shopee, menyenangkan. Dan bayar pakai shoopepay juga banyak promonya, shoopepay juga banyak diskon an, di starbuck, mc donald, dan masih banyak lagi tenan tenan makanan dan minuman lainnya",1,22 Januari 2021
Joko Widodo,Suka bgt pake Shopee.. Mudah.. Banyak promo..apalagi koin nya juga bisa buat transaksi.. Belanja jd lebih irit 👍👍👍,1,07 Maret 2021
Saida Azmya,Sebel sama shopee bikin gak berhenti belanja... Bulan ini gak belanja bulan esok belanja 2x lipat.. Sama aja dong 😁😅😅 aplikasinya paling enak dibandingkan dengan aplikasi lain,1,12 Maret 2021
Sulaiha Lpg,"Belanja di ol.shopee terpercaya, belanja lewat ol shopee ini tidak pernah mengecewakan.",1,09 Maret 2021
Irma Novelia Ira,"Belanja di shopee puas banget, banyak gratis ongkirnya, banyak poin juga, pokok nya puas deh 👍👍",1,27 Februari 2021
Nita Bonita,Untuk hari ini kenapa ya kak Jasa Pengiriman J&T express di semua toko shoope itu tidak tersedia .,1,16 Maret 2021
Nur Kholifah,"Puas banget belanja di shopee,,barang yg kita cari komplit di sini, orderan cpt nyampek dan aman",1,15 Maret 2021
pratiwi syahar,"Puas pake Shopee... Cuma koin ku sering kadaluarsa. Mau nya kan, gak usah pake expired",1,13 Maret 2021
Squidwot Aleale,Enak aja sama penggunaan aplikasinya.....gk ribet Kalo order juga gampang...trus gimana...gak ada hadiah gitu buat saya..secara nih ya..udah ngasih 5 bintang..,1,28 Februari 2021
Jaisyun Tungga,"Saya suka sophee...tapi kenapa aplikasinya sering suruh update terus.padahal baru bulan kemarin update,sekarang suruh update lagi.apa tiap bulan harus update gitu",1,01 Maret 2021
Putri Sulastri,"Woow aplikasinya sebagus ini, sangat membantu buat dalam belanja online, banyak tokonya lengkap da pokoknya mah",1,27 Februari 2021
HENGKY 136,"Apk nya bagus banget,dan dapet pulsa 20k untuk pengguna baru,download sekarang!!",1,13 Maret 2021
Rizal Nurfahrozi,"TRIms shopee... Makin kesini makin mudah transaksi pake shopee, kalo ada keluhan cepat terselesaikan...👍 Cuma saran saya mohon peringati penjual yg menurunkan/menaikan harga dagangan secara tidak wajar, agar harga pasar stabil",1,15 Maret 2021
RITA YULI,"Paling suka belanja di Shopee, pilihan barang banyak dan mudah pembayarannya, terbantu jg dg adanya shopee pay later.",1,01 Maret 2021
Imanjamaludin Jamaludin,Barang blm pernah mengecewakan..tp skrng mah jarang gratis ongkir..padahal sya belanja hampir tiap hari.🤩🤩🤩🤩🤩,1,14 Maret 2021
Jose D.A,utk toko yg produk dan pengiriman cepat sesuai pesanan tdk lelet alias is the best....💖👍🙏,1,01 Maret 2021
Izaaz Muzaaky,"Saya senang belanja si shoope dan saya sering belanja di shoope, tapi kenapa saya ngga dapet shoope pay latter?",1,01 Maret 2021
Dadan Fariz,Mantap semoga lebih mantap lagi Semoga menyediakan diskon dan ongkos kirim gratis semoga tambah sukses shopee,1,10 Maret 2021
andre yoga channel,Gua download cuma buat pulsa gratis doang makasi developer jangan di hapus pulsa nya y aku kasi bintang lima tuh.,1,16 Maret 2021
Prabowo Hendrawan,"Aplikasi yg sangat super bermanfaat, apalagi buat profesi ojol.seperti saya ,.",1,24 Februari 2021
Pengguna Google,Tambah lagi jadi bintang 5 karna vocer gratis ongkir nya mulai bisa tiap hari lagi.. . gitu donk.. Kan aku droppship juga jadi butuh banget gratis ongkir nya.. . tingkat kan terus ya.. Cashnack juga banyakin.. 👍👍👍,1,07 Februari 2021
Arie Belinda,"Sesuka itu sama shopee, banyak promo, banyak cashback, dll, love banget deh pokoknya",1,01 Maret 2021
Era Pratiwi,"Saya sangat bahagia karna adanya shopee,terimakasih shopee kalian sangat membantu dalam kehidupan kami",1,05 Maret 2021
Arka Nabil,"Alhamdulillah, bener bener gak bisa berhenti bersyukur saya, rejeki dari Allah diperantarakan lewat shopee, shopee sngat membantu skali dlam perokonomian saya, Alhamdulillah Alhamdulillahhirtobbil'alamin pokoknya, the bestlah shopee, SEMOGA slalu sukses, dan mengayomi rakyat kecil sperti saya, makasih shopee maksih skali sudah mempermudah saya dlam perokonomian.",1,23 Februari 2021
Muhammad Baashil Aftar,Enak yah pada di komen shopee Kak aku mau nanya 2020 dulu download shopee tapi nyesel katanya codan cod dari mana Tapi aku dukung buat shopee mau Ingat kalau kalian semua ngehina shopee gimana cara nya shopee berubah kalian kalau harus dukung,1,05 Maret 2021
Sya ANnisa,Terima kasih shopee sudah membantu saya untuk membeli barang2 yang ingin ku beli semoga lebih baik baik dan baikkk lagi🧡,1,04 Maret 2021
Wal Ardi,"Terima kasih sudah membantu dalam urusan perbelanjaan. Mau itu fashion, otomotif atau produk² lain nya. Ga ribet!!!!! Sebab saya tinggal duduk manis scrool² hp atas bawah kanan kiri sambil ngemil + nonton anime cari² produk yang mau dibeli tinggal pay deh 🤭🤭 .... Kdg ad suka jg ad duka, suka ny sdah saya jabarin diatas. Dukanya it dngan adanya shopee mata jd ijo aja liat produk² yg lgi trend apalagi soal fashion & otomotif, hehee boros demi hobi krn setiap hari nya slalu ad aja yg dbeli 😂😂",1,19 Februari 2021
Diva Kurnala,Sangat membantu jika ingin membeli barang yang murah dan ada vocher gratis ongkirmya loh doload shopee sekarang juga ya,1,03 Maret 2021
noer hayaetie,"Saya suka belanja di shoppee, pelayanan nya bagus penjualan barang di setiap toko amanah n terpecaya, sukses selalu buat shoppee",1,08 Maret 2021
Joko Prasetyo,Aplikasi norak!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!tapi bohong bagus ni aplikasi,1,28 Februari 2021
Nin A,Aplikasi shopping ter debest se jagad raya. No debat!!!. Sayang banget deh sama shopee,1,03 Maret 2021
Zeffri Yn,"Ini aplikasi bagus banget ,aku rasa karena orang sebagian takut ketipu aja ,TPI aku sudah 6x belanja di aplikasi ini,kemudian kedepannya di perbanyak lagi gratisan sistem ongkir nya,dan menunya juga kalau bisa di simpelin lagi ,jadi untuk pemilihan subjek nya lebih mudah.",1,05 Maret 2021
Widya Wite079,Kenapa sih app Shopee ini....!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Aku tu jadi ketagihan belanaja terus tauu..... Please banyakin gratis ongkir yahhh 🙏🏻 ❤️❤️❤️,1,04 Januari 2021
Mi Di,Aplikasi belanja online yang sangat bagus dan terpercaya sampai saat ini masih sangat puas menggunakan aplikasi shopee,1,01 Maret 2021
사랑Feni,Aplikasi nya bagus gak bigung gitu kalok mau belanja tp kadang suka ngelag sendiri padahal sinyal enak. Tolong diperbaiki lagi yh min💜,1,15 Maret 2021
SCAR SHOP ID,"Follow ig saya shoppe indonesia ! Ig : richwahyu , saya salah satu pengguna , sejak lama,",1,28 Februari 2021
Arie Nizar Sidqi,Aplikasinya isinya pada nuntut spaylater sama pinjaman online. Aku saja gak di pakai spaylater dan pinjamannya.🤔,1,27 Februari 2021
Shintia Larasati,"belanja di shopee tidak sia sia semakin banyak kita transaksi semakin banyak juga diskon2 nya.spaylater sm spinjam sangat membantu kita saat keadaan pandemi,semoga limit ku bs di tambah lagi,kekurangan nya hanya di ongkir..mahal mahal ongkir nya.",1,20 Februari 2021
Rizky Puspita,"Memudahkan costumer dengan berbagai kategori yg ada, seperti opsi cod misalnya jadi kita bsa liat produk"" yg masuk list cod",1,10 Maret 2021
Elfa Agustina,Knp ya tmn2 saya baru jadi mamber shopee aj basic da dapat pay latter. Tapi saya sdh gold blm dpt jg? Agak kecewa,1,05 Maret 2021
Yusup Tajiri,"Lumayan👍shopee terbaik dlm solusi buat belanja online,sy coba aplikasi lainya tapi masih kalah sama shopee😊😊😊👍👍,tapi sayang permainan shopee chandy",1,24 Februari 2021
Imam Imron,Saya sangat suka dengan barang yang di tawarkan dan saya sangat suka pelayanan dari belulang babi penjual produk tekiro makasih ya bang 🙏🙏,1,28 Februari 2021
Rahayuanita channel,Tempat belanja online yg paling Kusuka. pernah buka yg lain malah bingung . Kalau disini gampang kalau belanja ngga rumit.,1,28 Februari 2021
Leny Hartatik,Sekarang udah ada shopee pay jadi lebih enak krna sering dapet gratis ongkir walaupun ada minimalnya tpi g ada biaya admin jika mengisi saldo semoga bertahan seperti ini mantaaaaap,1,06 Maret 2021
Rahma Wati,"Shopeee tolong lahhh kenapa aku gabisa pake shopeepay later;((( pdhal aku udh sering bangetttt belanja di shopee:((( dan akhir akhir ini shopee pelit ya,ga pernah ngasih voucher gratis ongkir min belanja 0 :((",1,07 Februari 2021
Nadia Samsung,Ketularan suami belanja dishopee...hehehe Ternyata benar kata suami. Shopee .....aplikasi belanja online terbaik,1,10 Maret 2021
Jawa Bower,"Shoppe luar biasa, apalagi setelah saya di ACC shopee paylater, makin sering belanja dan pastinya bayar tagihan tepat waktu dong",1,28 Februari 2021
Gdhorz Bangun,"Aplikasinya bagus, selama sya menggunakan utk mmbeli barang blom prnah kecewa...trimakasih shopee... prtahankan dan tingkatkan kepercayaan pengguna aplikasinya...trimakasih....👍👍",1,12 Maret 2021
A-Muhammad Khafid Maulidin 023,"Aplikasi kok update terus, apk apaan ini🙄🙄🙄...???????????????????????????????????....................??????????????????.............???????????..........?????????.......... Tapi mau gimana lagi produknya ori siih jadi ya biarpun update terus ya tetep ada di hp.ku.. Semoga shopee selalu seperti ini..menyaring barang dagangan yang ori"" aja ya..jangan sampek orang jualan barang kw masuk kesini..😁😁😁 🙏🙏🙏",1,28 Januari 2021
Khen Khen,"Shopee aplikasi yang bagus, sangat membantu dalam urusan belanja, responsif pada keluhan pembeli,. Semoga kedepannya shopee makin bagus lagi, thank you:)",1,20 Februari 2021
Permatasary Siagian,"Olshop terfavorit, ga ribet, pelayanan jg bagus, sangat recommended olshop nomor satu....",1,01 Maret 2021
Maya Safira Hz,"Gilaaaaaaaaaaa!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!🥺selalu puas belanja di si oren, si oren best lah🥺😭",1,29 Januari 2021
Glorya Adriana,"Sejauh ini shopee gapernah mengecewakan. Bagi yg ngerasa pernah dikecewain krn belanja disini, mending sebaiknya recheck dulu ulasan2 serta rating dari setiap produk👌",1,10 Maret 2021
Agustina Tonno,"Shopee no 1. Shopee Keren. Shopee tetap yang terbaik Shopee sangat membatu saya dalam segala hal, Terimakasih shopee",1,01 Maret 2021
Ita Rosita,"Aplikasi belanja online yg gak ribet,,mau apa2 ada,,tinggal klik,,tp sgt berbahaya klo jemari terlalu gercep..😁",1,04 Maret 2021
사랑Feni,Aplikasi nya bagus gak bigung gitu kalok mau belanja tp kadang suka ngelag sendiri padahal sinyal enak. Tolong diperbaiki lagi yh min💜,1,15 Maret 2021
Pengguna Google,"TerimaKasih Shopee, Sukses Selalu Ya...Sangat Bermanfaat Aplikasinya Tuk saya Ibu Rumah Tangga...Sukses Tuk Shopee.",1,14 Maret 2021
Hofifi Ofi,"Happy banget belanja di shopee,semua serba ada. Bisa menyesuaikan sama bajet kita. Makasih shopee",1,16 Maret 2021
Aida Aida,"Belanja online di Shopee murah, pengemasan & pengiriman cepat. GRATIS ONGKIR.",1,02 Maret 2021
fanza llova,"Transaksi jual beli paling mudah, harganya juga terjangkau, pengiriman nya cepat, pokoknya gampang banget kalo pake shopee, ada shopee gaush bingung"" nyari toko deh sekarang. terimakasih shopee))",1,22 Februari 2021
Muhammad Noor,"Apakah yang cod akan mendapatkan nasib yg sama , kalo beli barang cod ada gratis ongkir nyaa , semoga dibaca oleh pihakk shopee mohon didengar yaaaa",1,05 Maret 2021
mbring nugroho,"mantap, shopee , adminya pengen di gebugin kali sama gua, untung gua orgnya sabaran, kalo ngga sabar udah gua bakar tuh adminya,",1,11 Maret 2021
Desy Novitasari FKIP Pendidikan Fisika,"Aplikasi ini sangat terpercaya. Saya sgt suka belanja online melalui aplikasi ini karena penjual tdk dpat dg mudah melakukan penipuan, jika terjadi kesalahan dalam pengiriman barang seperti variasi produk yg tidak sesuai deskripsi maka kita bisa mengembalikan barang dan dana dapat kembali secara utuh tanpa berkurang sedikitpun.",1,09 Maret 2021
Lujeng Suryo Saputro,Kenapa sekarang di shopee tidak ada voucher game??... Saya pelanggan lama dan sering beli voucher game di shopee padahal... Saya jadi kecewa... Tolong diadakan lagi untuk voucher game nya✌️🙏,1,07 Maret 2021
Igusti putu Sukarmayana,Happy belanja di shopee banyak gratis ongkirnya pengiriman juga cepat. Pokoknya shopee T O P lah.,1,01 Maret 2021
Herawati Puji Lestari,Bermanfaat sekali Semoga tambah baik terus sehingga bermanfaat selalu untuk kita semua pengguna setia shopee,1,04 Maret 2021
Alya Azizah,Idih jelek bangettttttttttttttttttttttttttttttttttt!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Tapi boong bagusss bangettt udh 3 tahun donlowd aplikasi iniiiiii 👍👍👍👍,1,02 Februari 2021
Ika Tezar Fauzi,"Makin oke, respon penjual dan pengiriman sangat baik, makin oke Shopie, terima kasih",1,05 Maret 2021
Devika kalyani,Ya ampun kok jelek banget sih !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!??!!!???!!??????!!!!!?;$-+;_?;+7#71+$838_+_!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?????!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Tapi boonk hayuuk pal pal pale bagus banget parah,1,09 Februari 2021
Frisca Sitompul,Suka belanja di Shopee harga terjangkau ramah kantong dan satu lagi gratis ongkir nya itu loh bikin gregetan😁😁😁😍,1,14 Maret 2021
